risk_score	file	lines	incoming	outgoing	direct_writes	serializers	broad_catches	empty_catches	test_refs	tags	sample_tests
42	lib/features/auth/providers/auth_provider.dart	232	36	4	3	0	1	1	5	authority,persistence,sync,lifecycle,notification,security_identity,empty_catch	test/complete_job_screen_server_gate_test.dart | test/module_composer_title_rehydration_widget_test.dart | test/planned_work_open_job_visibility_test.dart | test/publish_metadata_dialog_integration_test.dart
41	lib/main.dart	1374	11	35	0	0	1	0	16	authority,persistence,sync,lifecycle,notification,security_identity,platform_root,large	test/issue_1_tombstone_conflict_regression_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/maintenance_lifecycle_replay_contract_test.dart | test/planned_job_local_identity_architecture_contract_test.dart
40	lib/features/planned_maintenance/domain/module_composer_models.dart	1730	24	2	22	13	3	2	12	authority,persistence,lifecycle,large,empty_catch,many_remote_writes,serialization_hub	test/module_composer_70e_responsive_widget_test.dart | test/module_composer_70e_semantic_evidence_test.dart | test/module_composer_alias_rehydration_test.dart | test/module_editor_screen_test.dart
39	lib/features/planned_maintenance/data/job_template_model.dart	697	30	3	0	22	7	1	12	authority,persistence,sync,lifecycle,medium_large,empty_catch,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/issue_1_tombstone_conflict_regression_test.dart | test/issue_41_response_payload_contract_test.dart | test/planned_job_closure_attestation_test.dart
39	lib/features/planned_maintenance/providers/planned_maintenance_provider.dart	1894	17	15	10	19	0	0	6	authority,persistence,sync,lifecycle,large,many_remote_writes,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/issue_1_tombstone_conflict_regression_test.dart | test/planned_job_local_identity_architecture_contract_test.dart | test/planned_job_server_completion_no_loss_test.dart
38	lib/features/auth/data/user_model.dart	567	32	1	1	0	0	0	17	authority,persistence,sync,lifecycle,notification,security_identity,medium_large	test/complete_job_screen_server_gate_test.dart | test/input_validation_test.dart | test/module_composer_title_rehydration_widget_test.dart | test/module_registry_authoring_screen_test.dart
34	lib/features/planned_maintenance/data/template_governance_model.dart	814	15	1	0	6	3	0	12	persistence,sync,lifecycle,security_identity,medium_large,serialization_hub	test/module_composer_70e_save_sync_refresh_test.dart | test/module_composer_title_rehydration_widget_test.dart | test/module_workshop_published_sources_test.dart | test/publish_metadata_dialog_test.dart
34	lib/features/planned_maintenance/providers/template_governance_provider.dart	2331	6	7	28	36	6	0	6	authority,persistence,sync,lifecycle,security_identity,large,many_remote_writes,serialization_hub	test/module_composer_title_rehydration_widget_test.dart | test/runtime_module_population_no_loss_test.dart | test/template_governance_70f1_restore_ui_test.dart | test/template_governance_70f_archive_test.dart
33	lib/features/maintenance/data/maintenance_model.dart	247	59	2	0	4	1	0	34	authority,persistence,sync,lifecycle,serialization_hub	test/baf_tag_resolver_v2_adapter_test.dart | test/complete_job_screen_server_gate_test.dart | test/input_validation_test.dart | test/issue_1_tombstone_conflict_regression_test.dart
33	lib/features/maintenance/providers/maintenance_provider.dart	1708	11	10	20	0	3	1	7	persistence,sync,lifecycle,large,empty_catch,many_remote_writes	test/complete_job_screen_server_gate_test.dart | test/issue_1_tombstone_conflict_regression_test.dart | test/maintenance_lifecycle_replay_contract_test.dart | test/planned_job_local_identity_architecture_contract_test.dart
30	lib/features/planned_maintenance/data/job_module_model.dart	726	30	4	0	5	3	0	25	persistence,sync,lifecycle,medium_large,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/issue_1_tombstone_conflict_regression_test.dart | test/issue_41_response_payload_contract_test.dart | test/job_module_population_replay_equivalence_test.dart
30	lib/features/planned_maintenance/providers/job_module_provider.dart	1947	6	11	7	15	4	0	8	authority,persistence,sync,lifecycle,large,many_remote_writes,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/issue_1_tombstone_conflict_regression_test.dart | test/job_module_lifecycle_replay_contract_test.dart | test/job_module_population_replay_equivalence_test.dart
30	firestore.rules	2743	0	0	0	0	0	0	12	authority,persistence,sync,lifecycle,notification,security_identity,platform_root,large	test/firestore_deployment_readiness_contract_test.dart | test/job_module_lifecycle_replay_contract_test.dart | test/maintenance_lifecycle_replay_contract_test.dart | test/p02_pending_user_email_binding_contract_test.dart
29	lib/features/directives/providers/operational_directive_provider.dart	1559	8	10	8	0	4	0	1	authority,persistence,sync,lifecycle,large,many_remote_writes	test/runtime_module_population_no_loss_test.dart
29	lib/features/planned_maintenance/domain/knowledge_governance_models.dart	504	7	3	9	7	0	0	1	authority,persistence,sync,lifecycle,medium_large,many_remote_writes,serialization_hub	test/field_hardening_contract_test.dart
28	lib/core/theme/baf_design_system.dart	141	58	0	0	0	0	0	0	authority,sync,lifecycle,no_direct_test_reference	-
28	lib/features/planned_maintenance/data/baf_knowledge_model.dart	434	11	3	0	2	3	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
28	lib/features/planned_maintenance/domain/baf_knowledge_repository.dart	760	6	5	5	6	4	0	4	authority,persistence,sync,lifecycle,medium_large,many_remote_writes,serialization_hub	test/module_composer_title_rehydration_widget_test.dart | test/publish_metadata_dialog_integration_test.dart | test/runtime_module_population_no_loss_test.dart | test/template_governance_70f1_restore_ui_test.dart
28	functions/src/maintenanceWorkflow/workflowNotificationTrigger.ts	148	1	2	5	0	1	0	0	authority,persistence,sync,lifecycle,notification,security_identity,many_remote_writes,no_direct_test_reference	-
27	lib/features/directives/data/operational_directive_model.dart	155	10	2	0	0	0	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
26	lib/features/audit/models/audit_event_model.dart	294	26	1	0	0	4	0	1	persistence,sync,lifecycle	test/runtime_module_population_no_loss_test.dart
26	lib/features/abnormalities/providers/abnormality_provider.dart	2193	6	10	13	20	11	0	1	persistence,sync,lifecycle,large,many_remote_writes,serialization_hub	test/runtime_module_population_no_loss_test.dart
26	lib/features/planned_maintenance/providers/knowledge_governance_provider.dart	667	5	11	7	1	3	0	0	authority,persistence,sync,lifecycle,medium_large,many_remote_writes,no_direct_test_reference	-
26	lib/features/admin/presentation/local_diagnostics_screen.dart	1518	2	21	8	8	5	0	2	persistence,sync,lifecycle,security_identity,large,many_remote_writes,serialization_hub	test/local_diagnostics_visibility_contract_test.dart | test/sync_coordinator_queue_contract_test.dart
26	functions/src/publishedTemplateAssignment.ts	1905	1	0	17	0	3	0	3	authority,persistence,sync,lifecycle,security_identity,large,many_remote_writes	test/runtime_module_population_fence_contract_test.dart | functions/test/publishedTemplateAssignment.firestoreEmulator.test.js | functions/test/publishedTemplateAssignment.test.js
25	lib/features/abnormalities/data/abnormality_model.dart	893	8	2	2	11	2	0	0	persistence,sync,lifecycle,medium_large,serialization_hub,no_direct_test_reference	-
